# ZhangYu 16-Mar-2018 

router

# node	comment	yPos	xPos	systemID
Node0	NA	584	914	0	
Node1	NA	371	214	1	
Node2	NA	356	273	2	
Node3	NA	950	445	3	
Node4	NA	921	688	4	
Node5	NA	557	628	5	
Node6	NA	831	442	6	
Node7	NA	717	381	7	
Node8	NA	761	455	8	
Node9	NA	521	524	9	
Node10	NA	857	753	10	
Node11	NA	275	621	11	
Node12	NA	862	563	12	
Node13	NA	215	988	13	
Node14	NA	274	192	14	
Node15	NA	961	350	15	
Node16	NA	50	815	16	
Node17	NA	0	755	17	
Node18	NA	443	464	18	
Node19	NA	379	479	19	
Node20	NA	669	756	20	
Node21	NA	211	364	21	
Node22	NA	970	402	22	
Node23	NA	326	452	23	
Node24	NA	543	107	24	
Node25	NA	604	853	25	
Node26	NA	528	243	26	
Node27	NA	92	463	27	
Node28	NA	928	615	28	
Node29	NA	2	561	29	
Node30	NA	886	679	30	
Node31	NA	87	309	31	
Node32	NA	223	841	32	
Node33	NA	685	887	33	
Node34	NA	532	823	34	
Node35	NA	944	322	35	
Node36	NA	392	647	36	
Node37	NA	325	73	37	
Node38	NA	467	477	38	
Node39	NA	548	88	39	
Node40	NA	359	413	40	
Node41	NA	516	350	41	
Node42	NA	68	360	42	
Node43	NA	643	914	43	
Node44	NA	858	244	44	
Node45	NA	199	31	45	
Node46	NA	109	181	46	
Node47	NA	966	256	47	
Node48	NA	476	695	48	
Node49	NA	542	377	49	
Node50	NA	320	701	50	
Node51	NA	68	547	51	
Node52	NA	873	774	52	
Node53	NA	60	324	53	
Node54	NA	86	184	54	
Node55	NA	247	147	55	
Node56	NA	425	250	56	
Node57	NA	38	398	57	
Node58	NA	150	882	58	
Node59	NA	288	375	59	
Node60	NA	772	535	60	
Node61	NA	554	403	61	
Node62	NA	442	440	62	
Node63	NA	904	811	63	
Node64	NA	14	652	64	
Node65	NA	651	714	65	
Node66	NA	390	376	66	
Node67	NA	93	349	67	
Node68	NA	543	72	68	
Node69	NA	463	255	69	
Node70	NA	326	21	70	
Node71	NA	792	684	71	
Node72	NA	738	422	72	
Node73	NA	340	497	73	
Node74	NA	855	571	74	
Node75	NA	552	214	75	
Node76	NA	33	356	76	
Node77	NA	281	54	77	
Node78	NA	297	144	78	
Node79	NA	111	543	79	
Node80	NA	78	79	80	
Node81	NA	213	717	81	
Node82	NA	563	984	82	
Node83	NA	86	56	83	
Node84	NA	983	329	84	
Node85	NA	935	991	85	
Node86	NA	83	204	86	
Node87	NA	175	268	87	
Node88	NA	895	802	88	
Node89	NA	756	493	89	
Node90	NA	651	724	90	
Node91	NA	562	903	91	
Node92	NA	386	312	92	
Node93	NA	148	771	93	
Node94	NA	291	284	94	
Node95	NA	454	909	95	
Node96	NA	393	204	96	
Node97	NA	954	377	97	
Node98	NA	512	686	98	
Node99	NA	905	876	99	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node6	Node3	100.0kbps	30	20ms	
Node6	Node0	100.0kbps	30	20ms	
Node6	Node4	100.0kbps	30	20ms	
Node6	Node5	100.0kbps	30	20ms	
Node6	Node2	100.0kbps	30	20ms	
Node6	Node1	100.0kbps	30	20ms	
Node7	Node0	100.0kbps	30	20ms	
Node7	Node3	100.0kbps	30	20ms	
